service	compose_files	ports	volumes	healthcheck	chain_dependencies	db_env	metrics_env
agent-registry	docker-compose.agents.yml	7701->7701/tcp	1	no	none	none	none
ai-clock-sync	infra/docker/compose/docker-compose.services.yml,infra/docker/compose/docker-compose.ai.yml,services/docker-compose.legacy.yml,services/ai-clock-sync/docker-compose.yml	7690->7690/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3	none	METRICS_PATH
ai-monitor	docker-compose.phase3.yml,infra/docker/compose/docker-compose.services.yml,infra/docker/compose/docker-compose.ai.yml	7575->7575/tcp	1	yes	RPC_L2	none	OP_BATCHER_METRICS_URL,OP_PROPOSER_METRICS_URL
ai-monitor-l1	services/ai-monitor/docker-compose.yml	7576->7576/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,POLICY_REGISTRY_CHAIN_ID	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	OP_BATCHER_METRICS_URL,OP_PROPOSER_METRICS_URL,PROM_URL
ai-monitor-l3	services/ai-monitor/docker-compose.yml	7577->7577/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,POLICY_REGISTRY_CHAIN_ID	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	OP_BATCHER_METRICS_URL,OP_PROPOSER_METRICS_URL,PROM_URL
ai-vault	services/ai-vault/docker-compose.yml,services/docker-compose.legacy.yml	7710->7710/tcp	1	no	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
ai-vault-dev	services/docker-compose.legacy.yml	8200->8200/tcp		no	none	none	none
alertmanager	observability/infra/docker-compose.yml,infra/opstack/docker-compose.yml,infra/docker/compose/docker-compose.obs.yml	9093->9093/tcp	2	yes	none	none	none
alerts-service	infra/docker/compose/docker-compose.services.yml,services/alerts-service/docker-compose.yml,services/docker-compose.legacy.yml	7644->7644/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
anomaly-detection-service	infra/docker/compose/docker-compose.services.yml,infra/docker/compose/docker-compose.ai.yml,services/docker-compose.legacy.yml,services/anomaly-detection-service/docker-compose.yml	7616->7616/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
